,username,tweet,sentiment,label
214,intrestin_thngs,@EtihadAirways We never received a letter stating the reason for #cancellation of our flight! Wish I had contact details for all those on my flight as none of us received it. You had our email addresses and could've sent it to us. Making up #excuses after the fact. #Priceless.,Strongly Negative,1
215,vitruviusxxx,"I’m not sure the form is completed correctly, you have not included your email address in the header and in clause 1 you should have actually inserted the details, where it says ‘insert the details’",Strongly Negative,1
216,chaplow_john,Etihad guest are horrendous in replying and took me nearly 2 months to get an answer through their email/phone system. Etihad Help on Twitter are very responsive but limited as what they can do. Airline is actually very good but online customer support lets them down badly,Strongly Negative,1
217,johara_saeed,"Every time I email Etihad Guest with a query it takes days if not weeks for them to respond, noting that they only respond once I speak to Etihad Help with my concern on Twitter. Which then also takes another couple of days!! Anyone else facing this? @EtihadHelp @EtihadAirways",Strongly Positive,5
218,moe_jangda,@JetBlue you were the partnering airline for my flight from AUS -> KHI on @EtihadAirways. You failed to load my luggage on the AUS -> JFK flight leaving me with no clothes to wear. @EtihadAirways baggage team has reached out to your internal team via email. Please respond,Strongly Negative,1
219,moneebmian,@EtihadAirways I have never had a worse customer experience on an airline. Due to being a Silver member on Etihad I received the email tagged below. Being a Silver member allows you to carry 10 extra KG as explained. Manager at reception refused to accept the email as proof.  pic.twitter.com/ie6hlzL5Eb,Strongly Negative,1
220,mani35893589,"@EtihadAirways @EtihadHelp Part of our return flight has been cancelled however the email sent by Etihad is incomplete. Our new flight number is EY9, on 28/5/19, but the email does not clarify which Airport Terminal. It does state Terminal 3 but which airport does this refer too?",Strongly Negative,1
221,ortambo_int,"Hi @relethoba. Kindly share with us the details, email address and contact person via DM and we will try and assist you to get the information you need from @EtihadAirways. Regards.",Neutral,3
222,hsauparna,"@EtihadAirways @Etihad 106823754586. Everytime I login to my account, it doesn't let me do anything except asking for email ID update. Please help. Had sent DM but no reply since 3 weeks.",Neutral,3
223,nmhdmassood,@EtihadAirways Is there any way I can get a claim manager or someone who's a decision maker? I get the same generic email over and over for a claim that has been there since 2018 - really frustrated,Strongly Negative,1
224,shabbaranks52,@EtihadAirways Submitted a baggage claim in March and still not got any compensation. I have emailed customer service 3 times over the space of over 3 months to no reply. Such a shame for such a big company not being able to reply to one email.,Strongly Negative,1
225,turningleftfor,Yes it sounds suspicious. No airline that I know of offers free upgrades by email.,Weekly Negative,2
226,nmhdmassood,@EtihadAirways I sent an email regarding my claim plzzzzzzz respond it to. It’s pending since December last 2018 🤬,Strongly Negative,1
227,anilks19701344,"@JasonUnsworth2 now it's like  watching a movie!!!
Next seen is unknown.
Self claimed CEO... CPO and CFO already decided... 
Really confusing!!!!

So far is there any conversation (official reply / email) from @sbi @TheOfficialSBI @EtihadAirways????
#JetAirways https://twitter.com/JasonUnsworth2/status/1128848536802549760 …",Weekly Negative,2
228,andbeestonp,"Travel with Etihad Airways from
Lagos-Dubai from N224,000.
Travel period- June-July 2019
Sales till 30th June 2019

For bookings and reservations,please call 08124598999 or send an email to…  https://www.instagram.com/p/BxgmLsqHNPD/?igshid=1ebpalp4vd2o9 …",Strongly Negative,1
229,aidancoughlan1,"@EtihadAirways @EtihadHelp 
29 hours later still no call. Still no email. Still no money. I’m contacting my lawyer. I have been more than reasonable. 
Worst customer service I have ever experienced.",Strongly Negative,1
230,ahmedmerchantx,"Hi.I have been applying for Job Opportunies lately, and I checked my inbox today and found this Email. I want to check with you if this is Legitimate or  http://not.as  it is asking me for my passport copy  and photo. @EtihadAirways @EtihadHelp @EtihadAirwaysAR pic.twitter.com/Ea2LUQEubC",Strongly Negative,1
231,anandabhairava,"@EtihadHelp @EtihadAirways @EtihadPremium Hi, is your retroclaim escalation e-mail dead? This one: RetroEscalations@etihad.ae
My miles from 5 flights on Etihad partners are still missing -_-
#Etihad",Strongly Positive,5
232,jasonunsworth2,"Who at @ETNOWlive is responsible for this misleading headline! @EtihadAirways bidded 17.58 PM in an email to @TheOfficialSBI as per my knowledge, though they don’t need to bid, they already own 24% and agreed to retain it, by investing a further 1.700 crore into @jetairways pic.twitter.com/NpIrF8raPO",Strongly Negative,1
233,meemamia,"This was your message “Hi Mariam, please accept our apologies, we have just sent a follow up email and asked them to get in touch with you. *AJ” and NO ONE contacted me!",Strongly Negative,1
234,dr_toothache,"@EtihadAirways @EtihadHelp  Hi Etihad. I am at Abu Dhabi airport.
Without any information , my flight ticket has been changed from EY203 to EY207. No email or phone call was made about this. 
Although I took the flight ,I lost on crucial work that was to be done on Sunday morning",Strongly Positive,5
235,jasonunworthy,"We know you guys don’t use all of them the time. It’s not like LHR is slot constrained. Hey - anyone got an email address of someone, anyone, at ACL? We should probably contact them too!",Weekly Negative,2
236,ivarun1802,There is no solution to contact any of your team.. same here I have not received any compensation as well after said you will get it.. such a careless and rude people sitting for help in @EtihadAirways @EtihadHelp. Even they are not replying your email as well..,Strongly Negative,1
237,anantbaksh,"@EtihadAirways @EtihadHelp can’t upgrade at airport ,reason -not upgradeable. Still got upgrade mail today !",Weekly Positive,4
238,maverick0685,"Latest- Sent both the parties an email, hoping to resolve this ASAP! @EtihadHelp have been helpful and courteous, no reply from @Alitalia yet. Looks like @Alitalia had put a hold on the ticket!!! reason - IDK!!! @azzurri folks - this is the impression people carry globally!!",Weekly Positive,4
239,dr_alremeithi,"احتاج شريحة من المتطوعين  (المضيفين الجويين) لتطبيق ذلك وإعطائي التغذية العكسية لبحث الموضوع بشكل أعمق. 
I need Flight attendants volunteers to try this and gives me feedback. For further research. 
@EtihadAirways @emirates
If interested
By email (dr.alrumaithi@gmail.com)  https://twitter.com/dr_alremeithi/status/1126249110594510850 …",Strongly Positive,5
240,benchmarkdubai,"A DAY AND A HALF TO MANUFACTURE - THREE DAYS TO ASSEMBLE AT SITE AND HANDOVER OUTDOOR ACTIVATION.
For more information please contact us on +971522694676 or email us at info@benchmarkdubai.com

 #standdesign #benchmarkevents #activations #events #design #Etihadairways  pic.twitter.com/xlghZO3ceN",Strongly Negative,1
241,paulmccleerypt,@EtihadAirways  the worst airline bar EasyJet I’ve had to deal with. Charge you for booking seats and then separate you and other families with small children on both legs of the journey. Rude check in staff and no reply to my complaint email. As always fly @British_Airways,Strongly Negative,1
242,1houselogistics,"Fly @EtihadAirways from Lagos to Dubai on Economy class for #214,099. Call 07030596028 / email - 1houselogistics@gmail.com

#TravelDeals #BestDeals pic.twitter.com/mgMCJ1A0mJ",Strongly Negative,1
243,franx_e,"Flight Deal On Etihad  Airways
___
London : N289K | Dubai : N210K Mumbai : N288K.
___
Travel Period : May( From Lagos)
__
Email : info@franxellsglobal.com 
Tel : 08097877083 ,…  https://www.instagram.com/p/Bw_70ZUHUdG/?utm_source=ig_twitter_share&igshid=1ldp36dlqdoal …",Strongly Positive,5
244,1houselogistics,"Fly @EtihadAirways from Lagos to Jeddah on economy class for as low as #326,299. Call 07030596028 / email - 1houselogistics@gmail.com

#TravelDeals #BestDeals #SummerDeals pic.twitter.com/yfOnW4RTYC",Strongly Negative,1
245,tweetingsanjay,"@EtihadAirways @EtihadHelp @EtihadPremium I Lost my cellphone on the flight EY223 departure 1st May 2019 from Delhi, India. I sat on my 38K. I forgot the phone in the Inflight Magazine pocket. Have sent form via email to lostandfound@etihad.ae but #noresponse!!! Please Help!!",Strongly Negative,1
246,gagande47678681,@EtihadAirways @EtihadHelp @etihad Lost phone reported as per etihad provided process.  Email sent to lostandfound@etihad.ae but NO RESPONSE even after 10 hours. BAD SERVICE. Is someone looking at it!!!,Strongly Negative,1
247,rattan_saarthi,@EtihadAirways Guest No is 118960504305. I am unable to reset my password even after receiving the email to do so. I am unable to login. I am unable to upgrade seats without login. I am getting all emails regarding my booking and offers and everything else on my registered email,Strongly Negative,1
248,sreetam86,@EtihadAirways I have sent a mail to Etihad Guest <guest@etihadguest.com> from fom.ecity@radharegent.com. It is really serious and need immediate response.,Strongly Negative,1
249,nikmaksimenko,"@EtihadAirways Hi! Etihadguest tells me that my account is locked, but I can't get the reactivation link through my email (tried it 10 times, it's not in spam either)",Weekly Negative,2
250,katedel41972319,"@EtihadAirways on 28 February we travelled from Australia to UK in transit our bugaboo bee pram was damaged. I have filled a complaint, followed correct procedure and still been asked to email same information 6 times. I was told I would be refunded but 2 months later no refund",Strongly Negative,1
251,kristinebalmes1,@EtihadHelp I believe today is already a working day in Abu Dhabi and it’s almost lunch time there. I have yet to receive any feedback nor email from @EtihadAirways customer relations office. Should I already assume that my complaint was shelved and no actions were taken?,Weekly Negative,2
252,fruitechris,"@EtihadAirways @EtihadHelp purchased additional baggage 5 days ago and your website crashed. Have been charged but no email confirmation received + account says ""no excess baggage purchased"". Emailed and followed up, no response. Can you please help me? 118960544253",Strongly Negative,1
253,kacysuri,@EtihadAirways Can you give me a direct email address to write to,Weekly Negative,2
254,akashgupt88,@EtihadAirways @jetairways @sureshpprabhu Return leg of my parents ticket not shown in the system when I had a confirmation mail that too in the foreign country. Also No communication received from the airline. Booked new tickets. Feeling cheated. Don't know where to go.  pic.twitter.com/pz4sFWXaRx,Strongly Negative,1
255,marinaroveta,I still don’t have any email or message regarding the 21 hours delayed flight of @EtihadAirways,Weekly Negative,2
256,peplerlacock,"@EtihadAirways @EtihadHelp so after a 10 h delayed flight in JHB, waited 6 hours for temp visa in Abu Dhabi, missed a full day in Phuket and one day in the resort Etihad did not even send a mail to compensate us for their mistake! Could have given us something to make up for it",Strongly Negative,1
257,misfitmagellan,"@EtihadAirways just booked a flight from Bogota to Mumbai and we got a mail asking for debit card pictures , passport of the Card Holder! Is this common?",Strongly Negative,1
258,andrewcunliffe5,"@EtihadHelp I booked a flight for 2 from Manchester to Kuwait for 16/6/19, my browser froze before the booking was complete. I currently have a pending transaction on my bank account from Etihad Airways but I have not received a confirmation email. Can I have some help please?",Strongly Negative,1
259,katiekn75569121,@EtihadAirways what’s going on? Just had an email saying our flights from Bangkok to Manchester on Sunday have been cancelled and we will most likely get no refund? We’re now looking at having to book new flights at around £2k and unlikely that our insurance will cover! 🤬🤬🤬,Strongly Negative,1
260,louiseontwitr,"Feel free to email me - if it’s not something I’m going to cover, I’ll pass it on to the appropriate editor (assuming your products are available in UAE/MENA region?)",Strongly Negative,1
261,manag96,"@EtihadAirways Hello, I am unable to reset my password, despite multiple attempts I did not get the reset email from your end. Can you please help!",Strongly Negative,1
262,mjk8593,"@EtihadHelp Need the customer care mail id of Etihad Airways

During seat selection payment went successfully but the seat is not allocated to the PNR. Need to know the status",Strongly Negative,1
263,lomondejager,@EtihadAirways and @aegeanairlines what is going on? Flight from JNB to ATH delayed almost 10 hours and not so much as an email or a text. #badservice #A3 1919 #EY,Weekly Negative,2
264,peplerlacock,@EtihadAirways @EtihadHelp so we just received email that out flight has been canceled to tomorrow morning and we are missing our connection flight to phuket en our stay at hotel😱 why don’t you guys put us on the Emerites flight there 2 flight tonight? EY603,Strongly Negative,1
265,noorsitara,"@EtihadAirways cancelled my flight from Canada due to technical issues, confirmed next flight twice through email and again cancelled with no prior information. on airport I find I’m booked on another flight for next day and they are unwilling to even acknowledge this.",Strongly Negative,1
266,braganza_cheryl,We have the same issue. Jet airways ticket but Etihad Operated flight.Till yest it was confimed by both the  http://airlines.So  we went ahead and rebooked our cancelled connections based on these flights.And today morning they send email that it's cancelled.Jet has cancelled.,Weekly Negative,2
267,adeline1981,"@EtihadAirways Hello, I just received a mail saying my flight from BLR to BOM was cancelled. Any reason for this? Departure is planned on June 12.",Strongly Negative,1
268,shreyan71545338,"@EtihadAirways Hi i booked ticket from ethiad airways on 20 th april 2019, from Ahmedabad to toronto . I got email today from my agent saying this flight is cancelled. My airline reservations code is NEIDZX . So now what's the next step to get refund??",Strongly Negative,1
269,sudheer90,@EtihadHelp @EtihadAirways @EtihadPremium its been 2 months could you please reply to my emails 🙄🙄 and I am not at all intrested in DM’s so either reply to my tweet about the status or reply to my email on my case DELEY30317,Strongly Negative,1
270,axelcase,Pésima gestión de @AirEuropa. Recibo su mail para hacer check-in online y no me lo permiten alegando que el vuelo es operado por @EtihadAirways y que es un mail por defecto. Tampoco me dejaron reservar asientos por el mismo motivo. Patético.,Strongly Positive,5
271,tbensaria,@EtihadAirways I have tried several times but the call always gets terminated by the automated bot. Is there no direct email or number I can use?,Strongly Negative,1
272,tbensaria,@EtihadAirways I have tried several times but the call always gets terminated by the automated bot. Is there no direct email or number I can use?,Strongly Negative,1
273,mohamadtarzi,"@EtihadAirways @EtihadHelp @AmericanAir So, Etihad help ask to send them the details and I did, and I was put in a loop again... ""send us an email""""someone will call you back since 12 hours """"it is American airlines problem""  https://twitter.com/MohamadTarzi/status/1117757080709083137 …",Strongly Positive,5
274,s7iam,"@EtihadHelp finally after a month long came up with a mail...for loss of baggage which is broken & unrepairable .Investigated like @FBI aolution credit of 100usd if we enroll in etihad guest n usable if i book tickets on #worstairline @EtihadAirways
#Shame https://twitter.com/s7IaM/status/1113529091297357825 …",Strongly Negative,1
275,sagarkalal7,"Okay if you can then please email me 
Kalalsagar28@gmail.com

My ticket number is ETKT 607  

Thank you so much",Weekly Negative,2
276,ajmprasad,@EtihadAirways this time my family had a awful time during check-in from your staff. Sent details to email. Get In touch soon.,Strongly Positive,5
277,harlalka70,"@EtihadAirways, I have a booking on Flt No. EY 213 for 28 April 19 under name of Manish Harlalka. I'm unable to find the PNR so cant look up my ticket. Request you to mail me details on manish@harlalka.com",Strongly Negative,1
278,angoorkhattehai,"Dear @EtihadAirways @EtihadHelp , it has been 6 days your guys have taken details on email and still no revert despite couple of reminders! Is this the standard you set by being the national carrier of #UAE ? #Aviation #AVGeek #Flying https://twitter.com/angoorkhattehai/status/1114887386515873792 …",Strongly Negative,1
279,shahrukhmirzaa,I got a spam mail where I was selected as a Sales Manager!,Weekly Positive,4
280,faizakkhan,Anyone else getting spam mail from @EtihadAirways recruitment on being selected as an Office Manager?,Strongly Positive,5
281,dhruvill,@makemytrip It is very ridiculous service. My bkng Id -NN7913332280164. Called customer care many times but high flow. I got mail from @EtihadAirways that the flight is cancelled and told travel agent MmT cn book u another tickt on same day. Torento to Regina,Strongly Negative,1
282,accessam,@SimonCalder is there anyway I can email you about the terrible treatment I got from @EtihadAirways @EtihadHelp as a business class traveller to my recent holiday in Phuket . There pathetic response and there racial profiling helping only certain white passengers,Strongly Negative,1
283,christravelblog,Etihad just resets WIFI onboard and have to repay. Nice way to make money @EtihadAirways ey77 to amsterdam today. Please see your feedback@ email for one refund.,Strongly Negative,1
284,noorsitara,Has any1 ever experienced flight canclation 2 days in a row! Well thanks to @EtihadAirways I’m stuck in Toronto with NO prior notification of flight cancellation. Got email confirmation 4 2day’s flight n at the airport got to know I’m booked at PIA tmrw with 9 hrs layover in Isb.,Strongly Positive,5
285,franx_e,"2hrs Flash Sale On Etihad Airways To Dubai. Fare N255,000. Ends 2pm today. Travel Date : 20 to 26April,2019.
___
From Lagos. T& C Apply.
__
Booking
Call : 08097877083, 08187800918
Email : info@franxellsglobal.com  pic.twitter.com/R65LR8m5xJ",Strongly Negative,1
286,zeeahasantalib,"Almost all of us have received this email but with a different job title. Yes this is a scam and scams are very common in UAE. Unfortunately, the one who trapped us was a Paki company (property dealer).... and you can't live there in 5500 aed/month!",Strongly Negative,1
287,asarwar7,"@EtihadAirways Hi we flew from Manchester to Abu Dhabi yesterday and our luggage was lost by the airline. they promised to get it delivered this morning as they ""forgot"" to put it on the plane in Manchester. They gave us a number and email address which both do not work.",Strongly Negative,1
288,aravindksriniva,"@EtihadAirways I made a reservation for my parents travelling from India to US. I paid it with my credit card. Do i have to do payment verification by sending email to pv@etihad.ae? 
secondly, is the diabetic meal vegeterian or non vegeterian?",Weekly Negative,2
289,myoung72414422,@flyLAXairport and @EtihadAirways - get it together. Flight originating in AhubDhabi and arriving at LAX cannot be found on any computer or printout. Your email says flight will arrive at Intl Terminal and that’s wrong. No one seems to know anything about this airline/flight,Strongly Positive,5
290,madhoop,"@EtihadAirways @EtihadHelp - I'm still waiting on a response to a Claim RQID: 683850. Based on your feedback, I did receive an email response from Claims after your coaxing but no payment is issued. Its been 8 days since response and over 4 months without resolution #allbagslost",Strongly Negative,1
291,saggisays,PURE CHEATS ! Have standard replies for all issues. Customer care has no backbone and asks us to email and somebody will reply. No one wants to understand the issue and resolve them. am unable to make my booking  due to their error and lack of response in time. No one bothers !!!,Strongly Negative,1
292,saggisays,PURE CHEATS ! Have standard replies for all issues. Customer care has no backbone and asks us to email and somebody will reply. No one wants to understand the issue and resolve them. am unable to make my booking  due to their error and lack of response in time. No one bothers !!!,Strongly Negative,1
293,saggisays,"Horrible experience with Etihad today, just spoke to the rep and sent them an email@with proofs. Here’s the email  pic.twitter.com/qfik9gmrCE",Strongly Negative,1
294,bhaveshlalwani,@EtihadAirways I can't use your compensation voucher online. You ask me to use it at the call center but the prices there are higher. You ask me to write a mail to customer care but they don't respond. I tweet and you ask me to mail again. What kind of service is this?,Strongly Positive,5
295,zameerali4,"@EtihadHelp @EtihadAirways just asked your customer relations team for a email address for airline so I can make an official complaint, been told I can’t have this info, worst airline to travel with, only positive Jihad cabin crew on flight ey21 today was fantastic, pure quality",Neutral,3
296,komareklubomir,"Hello, you have sent me an email that Etihad Airways’ Coach Schedule has been changed . When I clicked on the Link : "" HERE "" I opened the page with my schedule, but I can not see any schedule changes. Please write me exactly times of departures of both Coaches.",Strongly Negative,1
297,tourbrokers,"Flash Sale on @etihadairways ✈️
...
Abu Dhabi/Dubai -  N216,500
Dheli -  N245,500
Mumbai - N275,000
Jakarta - N341,000
Kuala Lumpur - N360,500

BOOK BY 31ST MARCH, 2019

TRAVEL UNTIL 30TH JUNE, 2049

Call📞: 0809 555 5562 or email📧: holidays@tourbroke…  https://ift.tt/2FIvXZD  pic.twitter.com/YB60K5FFut",Strongly Negative,1
298,hitendragulhana,"I have a best suggestion for your company. Dont stop your airlines. 
You can share or murge your company with other company like Etihad airways or other famous airlines .
I am Hitendra Gulhana from india.
Sorry my english is not good .
My email shreyaan1@rediffmail.com",Strongly Negative,1
299,tourbrokers,#FlashSales @officialkenyaairways and @etihadairways selling now on  https://ift.tt/2WvjLRw  💻 / Call: 📞080-9555-5562 or Email📧: holidays@tourbrokersinternational.com to book Terms and conditions apply ... #Tourbrokersinternational #TourBrokers #Tbih…  https://ift.tt/2OvXFMj ,Strongly Positive,5
300,tourbrokers,"#FlashSales @officialkenyaairways and @etihadairways selling now on  https://ift.tt/2WvjLRw  💻
/
Call: 📞080-9555-5562 or Email📧: holidays@tourbrokersinternational.com to book

Terms and conditions apply
...
#Tourbrokersinternational #TourBrokers #Tbi…  https://ift.tt/2HLkniS ",Strongly Positive,5
301,hamwi10,"@EtihadHelp 
Hello, 
Kindly I have made a flight booking on 21/03/2019, but so far I have not received an email confirmation from Etihad airways, the amount has been deducted already.",Strongly Positive,5
302,zafarali86,"Your executive forwarded the email to ground staff. Afterwards I spoke to them and explained about the email but the ground staff from @EtihadAirways refused to see the email insisting us to book the ticket.
Not very helpful. Very disappointed and frustrated with the service.",Strongly Negative,1
303,flairtravelpk,"LIMITED TIME OFFER!

Avail this amazing offer NOW before it expires !!!

CALL NOW or Email

+92 51 2601658/59 || ft@flair.com.pk

#Etihad #Airways #PakistanDay #Sale #PakistanDaySale pic.twitter.com/3oXHhTV2I7",Strongly Positive,5
304,brijesh_patel16,Its was worst experience at Ahmedabad airport @EtihadAirways @EtihadHelp. I booked confirmed flight ticket but they told flight is over booked. I contact the team for the credit of compensation but no body replied my mail. Help me out what should i do next? @EtihadHelp,Strongly Negative,1
305,maha_albabtain,"@EtihadHelp 
Good day, 
Could u provide me the official Etihad airways Email.

Thank you",Strongly Positive,5
306,1houselogistics,"Fly Etihad Airways from Lagos to Dubai on economy class for just #202,299 only.

Call 07030596028 / email - 1houselogistics@gmail.com

#March2019Sales pic.twitter.com/esqVein27I",Strongly Negative,1
307,dulcettravels,"Reposted from @dulcettravels  -  FLY✈ WITH ETIHAD AIRWAYS TO DUBAI FOR AS LOW AS NGN215,000.

For more info
Call us:
📞 08025486642 / 07081160214
Email: dulcettravels@yahoo.com…  https://www.instagram.com/p/BvL7qHiHYyH/?utm_source=ig_twitter_share&igshid=114eg3qw1gg2w …",Strongly Negative,1
308,dulcettravels,"FLY✈ WITH ETIHAD AIRWAYS TO DUBAI FOR AD LOW AS NGN215,000.

For more info
Call us:
📞 08025486642 / 07081160214
Email: dulcettravels@yahoo.com…  https://www.instagram.com/dulcettravels/p/BvLfw1pHxi6/?utm_source=ig_twitter_share&igshid=a74o5ynjb1cs …",Strongly Negative,1
309,accessam,@EtihadAirways @EtihadHelp so very disappointed by my flight from lhr to Phuket poor staff in business class & flight transfer no one to help to get to connecting flight now reach Phuket with no bags will be writing a strong email to CEO,Strongly Positive,5
310,ayesha_sharafi,@EtihadAirways my flight booked through Etihad was cancelled and I found out by chance while checking the flight status. I was not notified although Etihad has both my email and number (AND I have the app downloaded). This is unacceptable.,Strongly Negative,1
311,redshalim,"The confirmation email from @EtihadAirways on the baggage.
It was dated 26 Nov 2018. @EtihadHelp pic.twitter.com/HIOgTGmCA9",Strongly Negative,1
312,redshalim,"I really feel dissapointed with the way Etihad handling my case of baggage lost. All communication was done via twitter @EtihadHelp and also email to the baggage department. Even they admitted the mistake, there is no definite answer where the bags is. Say no to @EtihadAirways.",Strongly Negative,1
313,daniellegenet,Hi there from ABC News - would we have permission to use this photo in our Good Morning America broadcast - we are doing a story on falcons. Thank you! Email: danielle.j.genet@abc.com,Neutral,3
314,eng_hsa30,"ETIHAD

Idid bid request to upgrade my coming flight from one week
no response if it accept or reject for the upgrade ?

I want to know its need this much time to reply? @EtihadHelp @EtihadAirways

 i am trying mail the bid depart. by reply the mail i  received before no reply.",Weekly Negative,2
315,jacinthmoses,@EtihadHelp Please share the email and contact details for person managing the market development for Etihad airways.,Strongly Negative,1
316,junaidkabbasi,"noreply1552122643@etihadgoc.com
Is that email addres of Etihad ? Can you please confirm ?  pic.twitter.com/0hnTGXghDA",Strongly Negative,1
317,foalepaul,@EtihadAirways Thailand telephone number is +66950402584....e-mail is eaglepaul9@hotmail.com ... Best wishes Paul Foale,Strongly Positive,5
318,xxpearls,- @etihadairways we have sent you an email regarding our experience and no one has replied,Strongly Negative,1
319,jetairways,"Hi there, we note that our team has reverted to you on email regarding your concern & clarified that you'll need to contact Etihad Airways for further updates. Seek your understanding here. Thanks.",Neutral,3
320,fatmaalzaabi,"@EtihadHelp @EtihadAirwaysAR @EtihadAirways I already contacted the airport. They’re not helping, their response was to ask any friends in KAT to collect it, which doesn’t help
I have the email",Strongly Negative,1
321,virginupset,@VirginAustralia @richardbranson @EtihadAirways @SingaporeAir @GroupHNA #badcustomerservice have logged a complaint via email on the weekend and called up and they said that they would get someone to call me back still haven't heard back or received a phone call #tumbleweeds,Weekly Positive,4
322,kartik_duggal,"Really disgusted with @jetairways attitude towards customers (Jet Privilege also).Cancelling last min,no information,not calling or replying to mail.Request support from @MoCA_GoI @EtihadAirways.Will make sure nobody in my circle ever books Jet again.. #dgci #JetAirways #etihad",Strongly Negative,1
323,s7iam,"Update: Got a mail gifting 2000 miles for an broken seat and uncomfortable journey.please keep it with u its my donation for poor @EtihadAirways .@EtihadHelp only 2 flights u operate auh to maa and that too this substandard.
@khaleejtimes @AbuDhabiMedia @VisitAbuDhabi",Strongly Negative,1
324,debabra42426078,@EtihadAirways but I am at the loser end. Why can't the baggage team call to Zurich airport Etihad staff and speak to them instead of sending an email and sitting idle.  https://twitter.com/EtihadHelp/status/1102434871111237633 …,Strongly Negative,1
325,mmusharbak,"It’s really disappointing to get this response from you despite the fact that your email to me regarding this flight says different thing which caused this confusion. 
Anyway, I will give @emirates couple of chances till I move completely to @EtihadAirways 
Thanks.",Strongly Negative,1
326,absolutesussex,Cover announced for ABSOLUTE SEYCHELLES 2019 edition !! issue LIVE & Published 1st May  http://www.absoluteseychellesmagazine.com  @visitseychelles @qatarairways @britishairways @EtihadAirways @emirates @UKTurkish @CreoleTravel to be part of the issue email simon@absolutemagazine.co.uk  pic.twitter.com/XjTX5t1tcN,Neutral,3
327,climatiseduk,Still no response from @EtihadAirways from my last email sent on the 16th February regarding my #refund which was promised within 21 days for the  #cancelled flight on the 5th October 2018 come on @EtihadHelp sort this out.,Strongly Negative,1
328,fnasir,"@EtihadHelp More than 180k Etihad miles from my account were stolen in Dec 2018. Various complaints via phone to @EtihadAirways contact center, email to feedback portal served no purpose. Nobody is even caring to reply. Help!",Neutral,3
329,idm77043566,"Hi, Sorry to intrude. @EtihadAirways @EtihadHelp admitted to losing my luggage in October 2018. The same Baggage Claims Officer offered compensation and asked for my details for a bank transfer, but no money after 2 MONTHS! Do you have her direct email? Please PM me.",Strongly Negative,1
330,egyptair,"Thank you for getting in touch with us. Please accept our sincere apologies for the inconvenience, for further assistance kindly contact us on the following email: wecare@egyptair.com 
and the concerned team will assist you further.",Strongly Positive,5
331,adnanhidayat04,Thank u so much for the quick reply.  I have uae number registered. Will i get updated about the next flight date via email ??? Do i have to buy another ticket or use the same ???,Strongly Positive,5
332,igauravkalra,"So flight got cancelled because of tension between India and Pakistan , But atleast you should have sent an email or text , It’s showing on time online . Is this is your customer service ? I am never going to book @EtihadAirways, F**k you @EtihadHelp #boycottetihadairways",Strongly Negative,1
333,kalidaspardhy,"Have given all details by EMail repeatedly.
Will send again.
@EtihadAirways Subjected us to an EXTREMELY HORRIBLE NIGHTMARE at Mumbai International Airport on our way to Paris on My 11, 2017.",Strongly Negative,1
334,anjalifms,"This is my ticket no. 001256577311617
email: anjalibansal.fms@gmail.com",Strongly Positive,5
335,neeta_rughwani,@jetairways why can’t you follow up with Etihad for missing miles. Miles for domestic flight was added by you then why not the onward journey despite sharing FF number. I’ve submitted proofs again on email. Need speedy response @EtihadAirways @UfterYou,Weekly Negative,2
336,samaptravels,"Enjoy #Etihad #Airways  great  fares to all destinations and earn more. Check the image for details.
Email - samaptravels@gmail.com or call- 08159960000

#etihad #etihadairways #dubai…  https://www.instagram.com/p/BuWAFakn6uy/?utm_source=ig_twitter_share&igshid=jk9kt98gyzdw …",Strongly Positive,5
337,climatiseduk,Still no reply to my email sent on the 16th February 2018 @EtihadAirways and @EtihadHelp I cannot believe a company like @Etihad do not reply to emails about a #complaint which as been going on since October 2018 of #refund for @EtihadAirways #cancelling  our #flight,Strongly Negative,1
338,imtiyazkutub,"@EtihadAirways your complaint link is not working, may I have the email address to contact?",Weekly Negative,2
339,mayurvpuranik,"@EtihadAirways I have just received mail from baggageclaims for my lost baggage and the language in the mail shows such lack of responsibility and arrogance, seriously it cannot be matched #HOPELESSNESSATITSPEAK (contd)",Strongly Negative,1
340,neala_holland,Disgusted by the customer service and standards of @EtihadAirways. Put in an email following my flight from London to Sydney & was asked to call a number to discuss. Girl was as helpful as a chocolate tea pot. Less than 12 hours till I fly back & anxious is an understatement!,Strongly Negative,1
341,climatiseduk,Still have not received a reply from #etihad sent my last email on the 16/02/19. Does Mohammed Kamil still work @EtihadAirways?,Strongly Negative,1
342,edmtools,@SBICard_Connect  pl share the email address of the executive who is handling my @EtihadAirways co branded card. Let me have a word directly. There is no printed form for Etihad SBI card it's only on line.,Neutral,3
343,hottuberrol,"@EtihadAirways @EtihadHelp you send out an email encouraging us to buy points,  and the link directs us to a broken website. Really?  pic.twitter.com/t9fIFFCV0d",Strongly Negative,1
344,neala_holland,@EtihadAirways where do I email to complain about the quality of service on my flight?,Strongly Positive,5
345,lawrence_jones,"This genuinely the worst customer experience I have ever witnessed. Umna from @EthiadAirways has confirmed she’s sent the email yet still no news. 
#customerservice #poorservice #worstairline",Strongly Negative,1
